gvkey,cik,quarter
001161,0000002488,2020Q1
003336,0001688568,2020Q1
012441,0000749251,2020Q1
162906,0001598014,2020Q1
061388,0001095073,2020Q1
005643,0001585689,2020Q1
063080,0001013462,2020Q1
141384,0001097149,2020Q1
031887,0000943819,2020Q1
009771,0000091142,2020Q1
128978,0000075677,2020Q1
014418,0000789570,2020Q1
013510,0000783280,2020Q1
017928,0001478242,2020Q1
121382,0001034054,2020Q1
004060,0001666700,2020Q1
013421,0000813672,2020Q1
104432,0001513761,2020Q1
186310,0001501585,2020Q1
175955,0001111928,2020Q1
017120,0000719739,2020Q1
064630,0000946581,2020Q1
178507,0001408198,2020Q1
013619,0000815094,2020Q1
006338,0001711269,2020Q1
018872,0001418091,2020Q1
176928,0001383312,2020Q1
005667,0001915657,2020Q1
184700,0001175454,2020Q1
029901,0000900075,2020Q1
020748,0001596532,2020Q1
009225,0000084839,2020Q1
183377,0001262039,2020Q1
025124,0001707925,2020Q1
020232,0001601046,2020Q1
011811,0000779152,2020Q1
170750,0001539838,2020Q1
014256,0000743316,2020Q1
028790,0001679273,2020Q1
162254,0001306830,2020Q1
014275,0001132979,2020Q1
010407,0000096943,2020Q1
004383,0000731802,2020Q1
060979,0000943452,2020Q1
034636,0001754301,2020Q1
034443,0001751788,2020Q1
035168,0001755672,2020Q1
100243,0001748790,2020Q1
158742,0001278021,2020Q1
017874,0001283699,2020Q1
015267,0000832101,2020Q1
165123,0001336920,2020Q1
028320,0001402057,2020Q1
012459,0000906163,2020Q1
161844,0001300514,2020Q1
171007,0001373715,2020Q1
014822,0000011544,2020Q1
024617,0000878927,2020Q1
025313,0001757898,2020Q1
165746,0001335258,2020Q1
024405,0000877212,2020Q1
020116,0001590955,2020Q1
030098,0001699150,2020Q1
009846,0000827052,2020Q2
003413,0001047862,2020Q2
004503,0000034088,2020Q2
001300,0000773840,2020Q2
002991,0000093410,2020Q2
006104,0000051434,2020Q2
003897,0000936340,2020Q2
007017,0000101778,2020Q2
009850,0000092122,2020Q2
008539,0001109357,2020Q2
008810,0000788784,2020Q2
007977,0000072903,2020Q2
001440,0000004904,2020Q2
005046,0000040533,2020Q2
003144,0000021344,2020Q2
004199,0001551182,2020Q2
005047,0000040545,2020Q2
006066,0000051143,2020Q2
008479,0000077476,2020Q2
008543,0000764180,2020Q2
008549,0001163165,2020Q2
005597,0000047111,2020Q2
006502,0000056873,2020Q2
007241,0000064803,2020Q2
007163,0000064040,2020Q2
006435,0000055785,2020Q2
010983,0000101829,2020Q2
008762,0000080424,2020Q2
002817,0000018230,2020Q2
003170,0000021665,2020Q2
003835,0000315189,2020Q2
002403,0000014272,2020Q2
002285,0000012927,2020Q2
004839,0000037996,2020Q2
001078,0000001800,2020Q2
002663,0000016732,2020Q2
029830,0001732845,2020Q2
008530,0000078003,2020Q2
003532,0000024741,2020Q2
008247,0000079879,2020Q2
007435,0000066740,2020Q2
007257,0000310158,2020Q2
007585,0000068505,2020Q2
028192,0000004281,2020Q2
007366,0000065984,2020Q2
005439,0000045012,2020Q2
008099,0001031296,2020Q2
010499,0000097476,2020Q2
011465,0000106640,2020Q2
006375,0000055067,2020Q2
011636,0001770450,2020Q2
011456,0000106535,2020Q2
009667,0000089800,2020Q2
003650,0000026172,2020Q2
004321,0000032604,2020Q2
009465,0000087347,2020Q2
003121,0000021076,2020Q2
005071,0000040704,2020Q2
007881,0001164727,2020Q2
010867,0000100885,2020Q2
007154,0000063908,2020Q2
006730,0000059478,2020Q2
002111,0000010795,2020Q2
002086,0000010456,2020Q2
006266,0000200406,2020Q2
005125,0000040987,2020Q2
005606,0000047217,2020Q2
011506,0000107263,2020Q2
006078,0000051253,2020Q2
007647,0000070858,2020Q2
004517,0000753308,2020Q2
003980,0001744489,2020Q2
001447,0000004962,2020Q2
003505,0000024545,2020Q2
004093,0001326160,2020Q2
062689,0000086312,2020Q2
006742,0000059558,2020Q2
002968,0000019617,2020Q2
008007,0000072971,2020Q2
006008,0000050863,2020Q2
003813,0000027419,2020Q2
010519,0000217346,2020Q2
011060,0000103379,2020Q2
011264,0001618921,2020Q2
