file,avg_tfidf_finneg,avg_tfidf_h4n,doc_length,filing_date,cik,conml,gvkey,permno,excess_return_3d
20200131_10-Q_edgar_data_1403161_0001403161-20-000012_1.txt,1.5055429207933304e-07,1.1163225342721052e-07,1035775,2020-01-31,1403161,Visa Inc,179534,92611.0,-0.042366884414556494
20200131_10-Q_edgar_data_1732845_0001564590-20-002901_1.txt,5.296702569481107e-08,4.53254496836252e-08,4244636,2020-01-31,1732845,WestRock Company,029830,21186.0,0.023691201548438956
20200131_10-Q_edgar_data_833444_0000833444-20-000006_1.txt,2.079877564151263e-07,1.519227558008661e-07,1906321,2020-01-31,833444,Johnson Controls International Plc,006268,45356.0,-0.03210228886257105
20200131_10-Q_edgar_data_8670_0000008670-20-000007_1.txt,4.57279221374886e-08,5.8064808445651426e-08,2649405,2020-01-31,8670,Automatic Data Processing Inc,001891,44644.0,0.012489660783566947
20200131_10-Q_edgar_data_943819_0000943819-20-000003_1.txt,3.683875293744568e-08,3.298499255121312e-08,2154656,2020-01-31,943819,Resmed Inc,031887,81736.0,0.013107405012090956
20200203_10-K_edgar_data_1521332_0001521332-20-000012_1.txt,1.0946567376416913e-07,9.830091954882049e-08,5217148,2020-02-03,1521332,Aptiv PLC,118122,13103.0,0.0010561352163196425
20200204_10-K_edgar_data_1035443_0001035443-20-000042_1.txt,2.5074932569767273e-08,4.0343969781490094e-08,40722173,2020-02-04,1035443,Alexandria Real Estate Equities Inc.,064821,84767.0,0.006733047511770396
20200204_10-K_edgar_data_1652044_0001652044-20-000008_1.txt,2.0024202944472493e-07,1.6940256055512116e-07,2443519,2020-02-04,1652044,Alphabet Inc,160329,90319.0,-0.010638490157397262
20200204_10-K_edgar_data_2488_0000002488-20-000008_1.txt,3.5466948220723626e-07,2.3528874092548121e-07,1905412,2020-02-04,2488,Advanced Micro Devices Inc,001161,61241.0,0.060081416025519196
20200204_10-K_edgar_data_899866_0000899866-20-000012_1.txt,3.103476027622926e-07,2.403112385019005e-07,3657456,2020-02-04,899866,Alexion Pharmaceuticals Inc,062263,83111.0,-0.026629267005750412
20200204_10-K_edgar_data_92380_0000092380-20-000024_1.txt,1.508347462459562e-07,1.6261728706642137e-07,2981495,2020-02-04,92380,Southwest Airlines Co.,009882,58683.0,0.011624217211136045
20200204_10-Q_edgar_data_103379_0000103379-20-000003_1.txt,8.468611921429517e-08,1.3853986560453943e-06,2412491,2020-02-04,103379,V.F. Corp,011060,43553.0,-0.02315023667788041
20200204_10-Q_edgar_data_1260221_0001260221-20-000008_1.txt,4.3463242738010914e-08,6.509742200124004e-08,2209563,2020-02-04,1260221,TransDigm Group Inc,148349,91152.0,-0.042029408770360654
20200204_10-Q_edgar_data_1744489_0001744489-20-000046_1.txt,5.0870951828772486e-08,5.7700354579996415e-08,2971809,2020-02-04,1744489,Walt Disney Co (The),003980,26403.0,-0.019229240610752596
20200204_10-Q_edgar_data_21076_0000021076-20-000004_1.txt,2.7660215001162132e-08,4.969869892868079e-08,1321144,2020-02-04,21076,Clorox Co (The),003121,46578.0,0.04763123014381554
20200204_10-Q_edgar_data_52988_0000052988-20-000019_1.txt,2.3398580107773585e-07,1.636395609608218e-07,1458219,2020-02-04,52988,Jacobs Solutions Inc,006216,52329.0,0.014562095185631563
20200204_10-Q_edgar_data_707549_0000707549-20-000020_1.txt,9.410068279382959e-08,9.359936547664025e-08,1787705,2020-02-04,707549,Lam Research Corp,006565,48486.0,0.008712029460939519
20200204_10-Q_edgar_data_712515_0000712515-20-000006_1.txt,1.4483508098202105e-07,1.3831342789338989e-07,1850579,2020-02-04,712515,Electronic Arts Inc,016721,75828.0,0.006628237727036135
20200204_10-Q_edgar_data_731802_0000731802-20-000010_1.txt,4.654703500143572e-08,7.909905924827164e-08,1347303,2020-02-04,731802,Atmos Energy Corp,004383,32986.0,-0.031249699740654058
20200204_10-Q_edgar_data_827054_0000827054-20-000029_1.txt,3.28344065143038e-07,2.183470134984529e-07,1644635,2020-02-04,827054,Microchip Technology Inc,027965,78987.0,0.08044723380799423
20200204_10-Q_edgar_data_927653_0000927653-20-000016_1.txt,1.9053670893539146e-07,1.361141683206453e-07,1975072,2020-02-04,927653,McKesson Corp,007171,81061.0,0.09853797416197296
20200205_10-K_edgar_data_1058090_0001058090-20-000010_1.txt,1.629734660952128e-07,8.152063199500111e-08,2687960,2020-02-05,1058090,Chipotle Mexican Grill Inc,165914,91068.0,-0.009912323412109458
20200205_10-K_edgar_data_1467858_0001467858-20-000028_1.txt,3.149413207336919e-07,1.861473147585825e-07,4163257,2020-02-05,1467858,General Motors Co,005073,12369.0,0.0020076129167703183
20200205_10-K_edgar_data_37996_0000037996-20-000010_1.txt,1.4595137690295146e-07,1.061345409158347e-07,5061921,2020-02-05,37996,Ford Motor Co,004839,25785.0,-0.1342604972649999
20200205_10-K_edgar_data_936340_0000936340-20-000127_1.txt,1.0881948047963881e-07,1.1538926511176725e-07,6105989,2020-02-05,936340,DTE Energy Co,003897,11674.0,-0.009702339662120751
20200205_10-Q_edgar_data_1024305_0001024305-20-000016_1.txt,2.891505272880219e-07,1.6789164166385524e-07,2279517,2020-02-05,1024305,Coty Inc,012151,13983.0,0.10650682303442882
20200205_10-Q_edgar_data_1048695_0001048695-20-000012_1.txt,2.941613484346904e-07,2.1217356976730986e-07,1139757,2020-02-05,1048695,F5 Inc,121077,86964.0,0.006013900498406777
20200205_10-Q_edgar_data_1137789_0001137789-20-000015_1.txt,1.6994141766181556e-07,1.3668056744449456e-07,1531965,2020-02-05,1137789,Seagate Technology Holdings plc,150937,89641.0,-0.07121814558599715
20200205_10-Q_edgar_data_1530721_0001530721-20-000008_1.txt,1.1961482245502458e-07,6.719568875090059e-08,1807651,2020-02-05,1530721,Capri Holdings Ltd,198058,13142.0,-0.031243046101421146
20200205_10-Q_edgar_data_1754301_0001564590-20-003497_1.txt,3.970017795594816e-08,6.069959355068363e-08,1938231,2020-02-05,1754301,Fox Corp,034636,18420.0,-0.040279288687697035
20200205_10-Q_edgar_data_319201_0000319201-20-000008_1.txt,1.539127230054043e-07,1.1945708039670453e-07,2514752,2020-02-05,319201,KLA Corp,006304,46886.0,-0.04882886186068336
20200205_10-Q_edgar_data_32604_0000032604-20-000007_1.txt,6.039130132710764e-08,4.3360838307883746e-08,941413,2020-02-05,32604,Emerson Electric Co.,004321,22103.0,-0.008558924947435376
20200205_10-Q_edgar_data_46765_0000046765-20-000007_1.txt,1.0637868154527609e-07,1.1226873724954253e-07,1417496,2020-02-05,46765,Helmerich & Payne Inc.,005581,32707.0,0.058831151968572026
20200205_10-Q_edgar_data_76334_0000076334-20-000009_1.txt,4.416998036901933e-08,5.5912397402338826e-08,1328230,2020-02-05,76334,Parker-Hannifin Corp,008358,41355.0,0.01744329420979085
