file,avg_tfidf_finneg,avg_tfidf_h4n,doc_length
20200130_10-K_edgar_data_1133421_0001133421-20-000006_1.txt,2.1886845199942216e-07,1.1855741998811742e-07,2799384
20200130_10-K_edgar_data_1166691_0001166691-20-000008_1.txt,9.990778604279043e-08,8.977312865168606e-08,5091693
20200130_10-K_edgar_data_1326801_0001326801-20-000013_1.txt,2.543269379431565e-07,1.7978198471585188e-07,2026028
20200130_10-K_edgar_data_822416_0000822416-20-000007_1.txt,1.481343604259134e-07,1.3275521941801706e-07,2822245
20200130_10-Q_edgar_data_1140859_0001140859-20-000008_1.txt,3.157927869717816e-07,2.0003541858592102e-07,879376
20200130_10-Q_edgar_data_1604778_0001604778-20-000008_1.txt,6.273119637666702e-08,6.217003128361503e-08,1794114
20200130_10-Q_edgar_data_38777_0000038777-20-000011_1.txt,1.4936477835853603e-07,1.1475435113302484e-07,1511627
20200131_10-K_edgar_data_1018724_0001018724-20-000004_1.txt,2.2953018127863478e-07,1.7709302622634377e-07,1878903
20200131_10-K_edgar_data_1065088_0001065088-20-000006_1.txt,2.3467228291912134e-07,1.6315838015040434e-07,2631366
20200131_10-K_edgar_data_1091667_0001091667-20-000024_1.txt,9.695338221736532e-08,9.796749454817626e-08,3980892
20200131_10-K_edgar_data_12927_0000012927-20-000014_1.txt,1.3880083073541803e-07,1.3397551166359992e-07,3847619
20200131_10-Q_edgar_data_1383312_0001383312-20-000013_1.txt,3.533677204583931e-07,2.281219200329412e-07,2008884
20200131_10-Q_edgar_data_1403161_0001403161-20-000012_1.txt,1.5055429207933304e-07,1.1163225342721052e-07,1035775
20200131_10-Q_edgar_data_1732845_0001564590-20-002901_1.txt,5.296702569481107e-08,4.53254496836252e-08,4244636
20200131_10-Q_edgar_data_833444_0000833444-20-000006_1.txt,2.0798775641512628e-07,1.5192275580086607e-07,1906321
20200131_10-Q_edgar_data_8670_0000008670-20-000007_1.txt,4.57279221374886e-08,5.806480844565142e-08,2649405
20200131_10-Q_edgar_data_943819_0000943819-20-000003_1.txt,3.6838752937445684e-08,3.298499255121312e-08,2154656
20200203_10-K_edgar_data_1521332_0001521332-20-000012_1.txt,1.0946567376416912e-07,9.830091954882048e-08,5217148
20200204_10-K_edgar_data_1035443_0001035443-20-000042_1.txt,2.507493256976727e-08,4.034396978149009e-08,40722173
20200204_10-K_edgar_data_1652044_0001652044-20-000008_1.txt,2.0024202944472493e-07,1.6940256055512116e-07,2443519
20200204_10-K_edgar_data_2488_0000002488-20-000008_1.txt,3.5466948220723626e-07,2.3528874092548121e-07,1905412
20200204_10-K_edgar_data_899866_0000899866-20-000012_1.txt,3.103476027622926e-07,2.4031123850190043e-07,3657456
20200204_10-K_edgar_data_92380_0000092380-20-000024_1.txt,1.508347462459562e-07,1.6261728706642137e-07,2981495
20200204_10-Q_edgar_data_103379_0000103379-20-000003_1.txt,8.468611921429516e-08,1.3853986560453945e-06,2412491
20200204_10-Q_edgar_data_1260221_0001260221-20-000008_1.txt,4.3463242738010914e-08,6.509742200124004e-08,2209563
20200204_10-Q_edgar_data_1744489_0001744489-20-000046_1.txt,5.0870951828772486e-08,5.770035457999641e-08,2971809
20200204_10-Q_edgar_data_21076_0000021076-20-000004_1.txt,2.766021500116213e-08,4.969869892868079e-08,1321144
20200204_10-Q_edgar_data_52988_0000052988-20-000019_1.txt,2.3398580107773582e-07,1.636395609608218e-07,1458219
20200204_10-Q_edgar_data_707549_0000707549-20-000020_1.txt,9.410068279382958e-08,9.359936547664024e-08,1787705
20200204_10-Q_edgar_data_712515_0000712515-20-000006_1.txt,1.4483508098202103e-07,1.3831342789338989e-07,1850579
20200204_10-Q_edgar_data_731802_0000731802-20-000010_1.txt,4.6547035001435715e-08,7.909905924827164e-08,1347303
20200204_10-Q_edgar_data_827054_0000827054-20-000029_1.txt,3.2834406514303794e-07,2.183470134984529e-07,1644635
20200204_10-Q_edgar_data_927653_0000927653-20-000016_1.txt,1.9053670893539146e-07,1.361141683206453e-07,1975072
20200205_10-K_edgar_data_1058090_0001058090-20-000010_1.txt,1.629734660952128e-07,8.152063199500111e-08,2687960
20200205_10-K_edgar_data_1467858_0001467858-20-000028_1.txt,3.149413207336919e-07,1.8614731475858252e-07,4163257
20200205_10-K_edgar_data_37996_0000037996-20-000010_1.txt,1.4595137690295146e-07,1.061345409158347e-07,5061921
20200205_10-K_edgar_data_936340_0000936340-20-000127_1.txt,1.0881948047963881e-07,1.1538926511176725e-07,6105989
20200205_10-Q_edgar_data_1024305_0001024305-20-000016_1.txt,2.891505272880219e-07,1.6789164166385522e-07,2279517
20200205_10-Q_edgar_data_1048695_0001048695-20-000012_1.txt,2.941613484346904e-07,2.1217356976730984e-07,1139757
20200205_10-Q_edgar_data_1137789_0001137789-20-000015_1.txt,1.6994141766181556e-07,1.3668056744449454e-07,1531965
20200205_10-Q_edgar_data_1530721_0001530721-20-000008_1.txt,1.1961482245502458e-07,6.719568875090058e-08,1807651
20200205_10-Q_edgar_data_1754301_0001564590-20-003497_1.txt,3.9700177955948154e-08,6.069959355068363e-08,1938231
20200205_10-Q_edgar_data_319201_0000319201-20-000008_1.txt,1.539127230054043e-07,1.1945708039670453e-07,2514752
20200205_10-Q_edgar_data_32604_0000032604-20-000007_1.txt,6.039130132710763e-08,4.336083830788374e-08,941413
20200205_10-Q_edgar_data_46765_0000046765-20-000007_1.txt,1.0637868154527609e-07,1.1226873724954253e-07,1417496
20200205_10-Q_edgar_data_76334_0000076334-20-000009_1.txt,4.4169980369019325e-08,5.591239740233882e-08,1328230
20200205_10-Q_edgar_data_804328_0001728949-20-000011_1.txt,9.429588455237916e-07,4.920142510026517e-07,697269
20200205_10-Q_edgar_data_96021_0000096021-20-000017_1.txt,3.6201197030583826e-08,6.782569766747586e-08,2292324
20200206_10-K_edgar_data_101829_0000101829-20-000013_1.txt,1.7592943032403403e-07,1.2968494173254984e-07,4102916
20200206_10-K_edgar_data_1283699_0001283699-20-000026_1.txt,1.3583778046662222e-07,9.337039597733017e-08,4628152
20200206_10-K_edgar_data_1306830_0001306830-20-000018_1.txt,1.5095956219887245e-07,1.158384297131922e-07,5103416
20200206_10-K_edgar_data_1571949_0001571949-20-000003_1.txt,1.7957219676956902e-07,1.5197927862719734e-07,3951013
20200206_10-K_edgar_data_1633917_0001633917-20-000028_1.txt,2.899586620114587e-07,1.8050176687349967e-07,2875984
